"JURISDICTION","Sum(COUNT)","JURISDICTION (Right)","GENDER","YEAR","16-19","20-24","25-29","30-39","40-49","50-59","60-69","70-79","80+","Total","Drug_Test_Per_10k_Licences"
"NT",5879,"NT","Female",2018,3416,6190,8641,17629,13762,11686,7324,2698,570,71916,817.4815062016797
"NT",5879,"NT","Female",2019,3321,6054,8568,17729,13688,11735,7521,2953,644,72213,814.1193413928239
"WA",76921,"WA","Female",2018,51078,73055,85745,186694,170742,156826,125054,74008,24701,947903,811.4859853803606
"NT",5879,"NT","Male",2011,3539,6936,8291,15360,15090,13001,7908,2348,498,72971,805.6625234682272
"NT",5879,"NT","Male",2010,3535,7034,8187,15715,15307,12974,7587,2179,470,72988,805.4748725817942
"NT",5879,"NT","Female",2020,3358,5887,8652,18185,13641,11689,7768,3221,767,73168,803.4933304176689
"WA",76921,"WA","Female",2019,50694,73639,83720,188835,171039,158363,128212,78417,26134,959053,802.0516071583114
"NT",5879,"NT","Female",2022,3205,5771,8461,18473,13703,11789,8077,3722,989,74190,792.4248551017657
"WA",76921,"WA","Female",2020,50726,73715,82436,191497,171611,160008,131227,82382,27614,971216,792.0071333256453
"NT",5879,"NT","Female",2021,3336,5918,8682,18546,13689,11853,7962,3489,858,74333,790.9004076251464
"TAS",28493,"TAS","Persons",2010,21901,28538,27624,57802,68315,67995,53422,27920,9774,363291,784.3023911960383
"WA",76921,"WA","Male",2013,54003,88861,105891,189318,185562,159528,118455,59960,22017,983595,782.0393556290952
"WA",76921,"WA","Female",2021,50624,74226,81951,193913,172304,162523,134403,86407,28789,985140,780.8128793877013
"TAS",28493,"TAS","Persons",2013,20695,27222,26754,54002,65304,69631,59296,31163,11228,365295,779.9997262486484
"NT",5879,"NT","Female",2023,3810,6075,8856,18533,13659,11709,7928,3794,1012,75376,779.9564848227552
"TAS",28493,"TAS","Persons",2012,21139,27654,27103,54968,66664,69586,57451,30014,10780,365359,779.8630935600327
"TAS",28493,"TAS","Persons",2014,20352,26933,26302,53400,64009,70080,60473,32838,11844,366231,778.006231039972
"NT",5879,"NT","Male",2012,3589,7302,8861,15834,15233,13344,8350,2555,545,75613,777.5118035258487
"QLD",118070,"QLD","Female",2010,93039,132299,142416,293772,298476,260418,187206,85623,26205,1519454,777.0554422838729
"TAS",28493,"TAS","Persons",2011,21547,28492,27939,56956,68153,69406,55667,28907,10229,367296,775.7503484927687
"NT",5879,"NT","Female",2024,3905,6276,8668,18725,13873,11669,8042,4009,1155,76322,770.289038547208
"TAS",28493,"TAS","Persons",2015,20361,27208,26144,53613,63419,70077,62090,34779,12605,370296,769.4655086741417
"WA",76921,"WA","Male",2014,53844,87495,107406,196557,186580,163213,122091,63622,22798,1003606,766.4461950207552
"WA",76921,"WA","Female",2022,52783,74913,83315,196843,174655,165218,137822,90664,30913,1007126,763.7673935535374
"WA",76921,"WA","Male",2015,54020,85742,106516,202036,186857,165769,125157,66840,24169,1017106,756.273190798206
"QLD",118070,"QLD","Female",2011,94553,135325,147302,298109,307090,269114,197947,90744,28734,1568918,752.5568576560407
"TAS",28493,"TAS","Persons",2016,20576,27548,26997,54981,63697,70283,64197,37081,13945,379305,751.1896758545233
"WA",76921,"WA","Male",2016,54480,84210,103549,205156,186880,166427,128992,70265,25611,1025570,750.0316896945114
"TAS",28493,"TAS","Persons",2017,20437,27371,27107,55033,62298,69659,64261,39703,14346,380215,749.3917914863958
"WA",76921,"WA","Male",2017,54046,82745,98749,205755,185375,167092,129856,75885,27395,1026898,749.0617373877445
"WA",76921,"WA","Male",2018,54003,81939,94344,204256,183906,167689,131895,80925,29391,1028348,748.0055389809676
"WA",76921,"WA","Female",2023,54952,75635,85171,199874,178814,166679,141265,95851,32912,1031153,745.9707725235731
"WA",76921,"WA","Male",2019,53317,81905,92528,204584,182441,169283,134024,84926,30319,1033327,744.4013366533536
"WA",76921,"WA","Male",2020,53654,81921,91612,205920,182520,170731,135994,88180,31588,1042120,738.1203700149695
"QLD",118070,"QLD","Female",2012,93614,136149,148254,298259,311710,277259,207584,97747,31292,1601868,737.0769626461107
"TAS",28493,"TAS","Persons",2018,20571,27643,28346,57190,62175,69439,65481,41905,15023,387773,734.785557529792
"QLD",118070,"QLD","Male",2010,96949,135188,148533,300453,305891,271547,209880,105119,39327,1612887,732.0413643361252
"WA",76921,"WA","Male",2021,53756,81603,91044,206549,182844,173041,138273,91469,32563,1051142,731.7850490228723
"NT",5879,"NT","Male",2013,3522,7840,9702,17425,15896,14109,8913,2822,573,80802,727.5810004702854
"WA",76921,"WA","Female",2024,57556,76794,88325,203799,184036,168215,144306,100174,35216,1058421,726.7523981478071
"QLD",118070,"QLD","Female",2013,95254,139032,149712,302964,316032,284082,216522,103355,33517,1640470,719.7327595140416
"WA",76921,"WA","Male",2022,56633,82338,92360,207860,185381,175477,141524,94775,34789,1071137,718.1247590177541
"QLD",118070,"QLD","Female",2014,95689,138142,146726,301129,314733,286496,221341,109817,35750,1649823,715.6525275741701
"NSW",165585,"NSW","Female",2010,136254,186532,208155,457993,456544,400051,283479,139556,46758,2315322,715.1705032820489
"TAS",28493,"TAS","Persons",2019,20030,28439,30321,60624,62032,69907,67000,44272,15827,398452,715.0924076174796
"QLD",118070,"QLD","Male",2011,98754,140007,155769,308402,316609,280258,219737,110136,42349,1672021,706.1514179546788
"NT",5879,"NT","Male",2014,3482,7892,10322,18168,16196,14442,9243,3054,609,83408,704.848455783618
"QLD",118070,"QLD","Female",2015,96770,139252,147566,305423,317081,290502,228135,117610,36010,1678350,703.4885452974647
"TAS",28493,"TAS","Persons",2020,19645,28473,32105,63631,61690,69542,67794,46452,17105,406437,701.0434581497256
"NSW",165585,"NSW","Female",2011,137008,193069,212912,460906,463234,410543,296446,144943,50676,2369737,698.7484265131532
"WA",76921,"WA","Male",2023,59128,84333,97458,212316,190089,177272,145202,98921,36385,1101104,698.5806971911827
"NT",5879,"NT","Male",2015,3448,7508,10476,18668,16306,14486,9482,3172,633,84179,698.3927107710949
"QLD",118070,"QLD","Male",2012,97569,139312,155589,308626,320873,286986,228101,116553,45527,1699136,694.8825756149007
"NT",5879,"NT","Male",2020,3508,6976,9351,19440,15515,14241,9990,4630,1012,84663,694.40015118765
"NT",5879,"NT","Male",2016,3488,7493,10165,19147,16298,14489,9588,3389,651,84708,694.0312603296028
"NT",5879,"NT","Male",2022,3641,6850,9096,19455,14989,14156,10296,5111,1279,84873,692.6820072343385
"NT",5879,"NT","Male",2021,3564,7002,9145,19511,15181,14272,10160,4907,1133,84875,692.6656848306333
"NT",5879,"NT","Male",2018,3599,7424,9588,19634,16162,14417,9803,4000,753,85380,688.5687514640431
"NT",5879,"NT","Male",2019,3599,7424,9588,19634,16162,14417,9803,4000,753,85380,688.5687514640431
"NT",5879,"NT","Male",2017,3611,7599,9889,19484,16225,14557,9653,3688,678,85384,688.5364939567132
"QLD",118070,"QLD","Female",2016,97836,140690,150590,313026,321161,294677,235607,125489,38133,1717209,687.5691893066016
"NSW",165585,"NSW","Female",2012,137689,197443,215084,461701,469189,421116,309668,152765,53743,2418398,684.6887898517945
"TAS",28493,"TAS","Persons",2021,19928,28968,34523,66998,61098,69428,68903,48248,18169,416263,684.4951388905572
"NT",5879,"NT","Male",2023,4264,7319,9482,19372,15033,13934,10164,5117,1293,85978,683.7795715182954
"QLD",118070,"QLD","Male",2013,97514,142117,157590,313499,325075,293339,236053,121277,47890,1734354,680.7722068274412
"QLD",118070,"QLD","Male",2014,96958,141315,153301,309645,322040,295354,238600,127248,49987,1734448,680.7353117533647
"WA",76921,"WA","Male",2024,61989,87529,103228,219322,196131,178487,148841,102238,38630,1136395,676.8861179431447
"NT",5879,"NT","Male",2024,4420,7656,9592,19347,15188,13783,10291,5362,1446,87085,675.0875581328587
"QLD",118070,"QLD","Male",2015,97176,142628,152981,312395,323433,298649,243220,134572,48767,1753821,673.2157956826837
"NSW",165585,"NSW","Female",2013,139198,198294,214947,465003,472387,430366,323208,160449,56239,2460091,673.0848574300708
"TAS",28493,"TAS","Persons",2022,20653,28922,35648,69647,61090,68981,69780,49976,18979,423676,672.5186227211359
"QLD",118070,"QLD","Female",2017,99089,141822,154123,320237,324548,298939,239644,137096,41275,1756773,672.0845550335757
"NSW",165585,"NSW","Male",2010,144248,191066,210538,461910,472941,427968,325847,174314,67336,2476168,668.7147237182614
"TAS",28493,"TAS","Persons",2023,21534,27980,34377,71199,61279,68410,70264,51831,19654,426528,668.0217945832395
"TAS",28493,"TAS","Persons",2024,22567,27693,33304,72165,61661,67684,70979,52990,20822,429865,662.8360066532515
"NSW",165585,"NSW","Female",2014,140367,199350,216933,471747,475479,438574,333489,170423,58377,2504739,661.0868437789326
"QLD",118070,"QLD","Male",2016,98832,144309,155570,318931,326575,301972,249033,141965,51310,1788497,660.1632543974074
"QLD",118070,"QLD","Female",2018,103497,143387,156619,326865,327863,302313,245796,146916,44124,1797380,656.9005997618756
"NSW",165585,"NSW","Male",2011,144838,197014,214158,465444,477713,436375,337695,179275,71439,2523951,656.0547332337276
"NSW",165585,"NSW","Female",2015,141662,201665,221972,481869,481264,444563,343801,180209,60713,2557718,647.3934968593098
"QLD",118070,"QLD","Male",2017,100398,146206,158194,325190,329186,305666,251404,153264,54555,1824063,647.291239392499
"NSW",165585,"NSW","Male",2012,144815,201827,215802,466699,481561,446717,348551,186071,74532,2566575,645.1594050436867
"QLD",118070,"QLD","Female",2019,101761,143845,158279,334045,329934,306705,252434,156322,47429,1830754,644.9255334141016
"NSW",165585,"NSW","Male",2013,144415,202781,215411,470168,482750,455140,360292,192797,76917,2600671,636.7010667631545
"NSW",165585,"NSW","Female",2016,143365,201936,226743,491897,485894,447972,354081,189642,64035,2605565,635.5051591497429
"QLD",118070,"QLD","Male",2018,105133,147522,160839,331231,330664,309335,255419,162698,57422,1860263,634.6952016999746
"QLD",118070,"QLD","Female",2020,103730,145962,160716,343548,333499,312503,258884,165880,50135,1874857,629.754695958145
"NSW",165585,"NSW","Male",2014,144666,202942,217932,476857,483801,462110,368163,202195,78991,2637657,627.7730576795998
"QLD",118070,"QLD","Male",2019,103082,147215,163417,337367,332002,313025,260210,171489,61205,1889012,625.0357329651691
"NSW",165585,"NSW","Female",2017,144158,203730,231063,504518,489871,450863,360249,205145,67670,2657267,623.1402414586114
"NSW",165585,"NSW","Male",2015,145142,205116,223392,488552,489526,467314,376425,211174,81355,2687996,616.0165416912823
"QLD",118070,"QLD","Female",2021,106317,149224,163078,352118,335323,319486,267152,175838,53602,1922138,614.2639082105447
"NSW",165585,"NSW","Female",2018,146703,204585,233564,515560,493287,452663,368437,217945,71186,2703930,612.3864153287992
"QLD",118070,"QLD","Male",2020,105052,149992,166612,346485,336029,318393,265968,179843,63166,1931540,611.2739057953758
"NSW",165585,"NSW","Male",2016,146098,206049,228090,500233,492494,469627,384945,220383,84385,2732304,606.0270013878397
"NSW",165585,"NSW","Female",2019,146100,204934,235004,525714,494383,455762,376230,228831,74841,2741799,603.9282967132164
