"JURISDICTION","Sum(FINES)","JURISDICTION (Right)","GENDER","YEAR","16-19","20-24","25-29","30-39","40-49","50-59","60-69","70-79","80+","Total","Fines_Per_10k_Licences"
"NSW",26153,"NSW","Female",2019,146100,204934,235004,525714,494383,455762,376230,228831,74841,2741799,95.38627740399643
"SA",6347,"SA","Female",2024,34850,46684,53321,116317,106635,107250,102475,75182,26271,668985,94.8750719373379
"NSW",26153,"NSW","Female",2020,145362,205146,234777,532347,495704,457434,380069,234621,76223,2761683,94.69950026849568
"NSW",26153,"NSW","Male",2017,147304,207878,233721,513477,496518,471420,388287,235740,87983,2782328,93.99682567979045
"SA",6347,"SA","Male",2022,33756,49683,57264,115418,105263,109711,101978,73958,28705,675736,93.92721417831815
"SA",6347,"SA","Male",2023,34593,49999,57749,116660,105887,109383,102634,74938,29354,681197,93.17422126051642
"NT",1233,"NT","Persons",2010,6697,12492,15422,29757,28061,23265,12625,3483,759,132561,93.01378233417067
"NT",1233,"NT","Persons",2011,6681,12362,15609,29177,27920,23430,13256,3783,817,133035,92.68237681813056
"NSW",26153,"NSW","Male",2018,149144,209002,237852,524602,500347,471429,393167,248106,91469,2825118,92.57312437922947
"NSW",26153,"NSW","Female",2021,148692,209726,237919,547953,500041,463169,392804,250226,81753,2832283,92.33893646927233
"SA",6347,"SA","Male",2024,36089,50731,58456,119092,108281,108698,103999,76692,30637,692675,91.630273937994
"NSW",26153,"NSW","Male",2019,149146,211456,241483,534957,503105,472224,398954,258102,94788,2864215,91.30948619429758
"NSW",26153,"NSW","Male",2020,149594,212151,243677,541750,505083,473756,401424,262687,96367,2886489,90.60488364930545
"NSW",26153,"NSW","Female",2022,150262,210957,238305,553612,505578,470636,405012,270862,103237,2908461,89.9204080783617
"NT",1233,"NT","Persons",2012,6771,13038,16434,30230,28309,24207,14036,4164,888,138077,89.29800039108613
"NSW",26153,"NSW","Male",2021,153123,216686,245600,551680,510624,476125,410908,276285,102390,2943421,88.85239318466506
"NSW",26153,"NSW","Female",2023,155276,212868,240555,558605,512166,473053,411616,279774,108246,2952159,88.58940185809774
"NSW",26153,"NSW","Female",2024,161512,215936,245605,564586,521052,476210,419205,288559,116577,3009242,86.90892922536639
"NSW",26153,"NSW","Male",2022,157645,221653,250350,562177,520646,484585,425643,298886,129966,3051551,85.70395841327901
"NSW",26153,"NSW","Male",2023,165089,227016,254410,567796,527996,484962,430051,302444,128234,3087998,84.69241236555204
"NT",1233,"NT","Persons",2013,6621,14007,17770,32681,29300,25461,15004,4613,947,146404,84.21901040955166
"NSW",26153,"NSW","Male",2024,172182,236109,263885,577743,538377,486454,437167,309618,135449,3156984,82.84172488679069
"NT",1233,"NT","Persons",2014,6595,14117,18638,33922,29722,25941,15684,5020,1014,150653,81.84370706192375
"NT",1233,"NT","Persons",2015,6438,13730,18917,34892,29765,26092,16099,5259,1076,152268,80.97564819922768
"NT",1233,"NT","Persons",2016,6622,13671,18726,36048,30010,26100,16468,5654,1106,154405,79.85492697775331
"NT",1233,"NT","Persons",2017,6880,13755,18638,36884,29943,26176,16733,6152,1183,156344,78.86455508366167
"NT",1233,"NT","Persons",2019,6880,13755,18638,36884,29943,26176,16733,6152,1183,156344,78.86455508366167
"NT",1233,"NT","Persons",2018,7015,13614,18229,37263,29924,26103,17127,6698,1323,157296,78.3872444308819
"NT",1233,"NT","Persons",2020,6866,12863,18003,37625,29156,25930,17758,7851,1779,157831,78.12153505965242
"NT",1233,"NT","Persons",2022,6846,12621,17557,37928,28692,25945,18373,8833,2268,159063,77.51645574395052
"NT",1233,"NT","Persons",2021,6900,12920,17827,38057,28870,26125,18122,8396,1991,159208,77.44585699211095
"NT",1233,"NT","Persons",2023,8078,13394,18340,37906,28692,25643,18092,8911,2305,161361,76.41251603547326
"NT",1233,"NT","Persons",2024,8329,13932,18262,38074,29062,25452,18333,9371,2601,163416,75.45160816566309
"SA",6347,"SA","Persons",2010,66915,90102,94309,193141,216461,203211,154220,79680,32881,1130920,56.12244897959183
"SA",6347,"SA","Persons",2011,66660,91188,96290,191587,215927,205084,159527,79679,32771,1138713,55.738364276160894
"SA",6347,"SA","Persons",2012,65534,91544,97478,191909,216419,207297,164911,83223,33506,1151821,55.10404828528044
"NSW",26153,"NSW","Persons",2010,280502,377598,418693,919903,929485,828019,609326,313870,114094,4791490,54.58218633452225
"SA",6347,"SA","Persons",2013,65346,93894,99493,195336,218214,211739,172784,89285,37201,1183292,53.63849328821627
"NSW",26153,"NSW","Persons",2011,281846,390083,427070,926350,940947,846918,634141,324218,122115,4893688,53.44231181064261
"SA",6347,"SA","Persons",2014,64702,94285,99081,197818,216467,214622,177794,93706,38079,1196554,53.043991328431474
"SA",6347,"SA","Persons",2015,63501,94408,98674,199566,214527,215517,181594,99128,39279,1206194,52.62005945975523
"NSW",26153,"NSW","Persons",2012,282504,399270,430886,928400,950750,867833,658219,338836,128275,4984973,52.463674326821824
"SA",6347,"SA","Persons",2016,63880,94469,99045,202725,212583,216185,185595,111705,42980,1219494,52.04617652895381
"NSW",26153,"NSW","Persons",2013,283613,401075,430358,935171,955137,885506,683500,353246,133156,5060762,51.677988413602534
"SA",6347,"SA","Persons",2017,63081,94658,99593,205973,211581,216155,186297,112684,42084,1232106,51.51342498129219
"SA",6347,"SA","Persons",2018,63558,94773,100387,209205,210073,216126,188749,119367,43777,1246015,50.93839159239656
"NSW",26153,"NSW","Persons",2014,285033,402292,434865,948604,959280,900684,701652,372618,137368,5142396,50.85761578843792
"SA",6347,"SA","Persons",2019,62480,95112,101255,212604,208125,215895,191708,125142,45895,1258216,50.444438792703316
"SA",6347,"SA","Persons",2020,60856,94767,102635,216290,207130,216078,194470,131497,48225,1271958,49.89944636536741
"NSW",26153,"NSW","Persons",2015,286804,406781,445364,970421,970801,911892,720235,391388,142069,5245755,49.85554986841742
"SA",6347,"SA","Persons",2021,63947,95510,105500,220974,206416,216602,197985,137584,49961,1294479,49.03130912127582
"NSW",26153,"NSW","Persons",2016,289463,407985,454833,992130,978408,917622,739051,410034,148421,5337947,48.994491702521586
"NSW",26153,"NSW","Persons",2017,291462,411608,464784,1017995,986418,922331,748559,440900,155654,5439711,48.07792178665374
"SA",6347,"SA","Persons",2022,66620,96567,110117,229102,208717,217782,202478,145187,52569,1329139,47.752718113003986
"SA",6347,"SA","Persons",2023,68290,96690,110983,231247,210402,217217,203731,147564,53936,1340060,47.36355088578124
"NSW",26153,"NSW","Persons",2018,295847,413587,471416,1040162,993656,924156,761634,466067,162660,5529185,47.299918523254334
"NSW",26153,"NSW","Persons",2019,295246,416390,476487,1060671,997503,928063,775230,486952,169633,5606175,46.65034537808755
"SA",6347,"SA","Persons",2024,71092,97551,111917,235620,215033,216015,206514,151892,56914,1362548,46.58184519004101
